colour 给...着色  
yellow 黄色(的)  
blue 蓝色(的)  
white 白色(的)  
green 绿色(的)  
purple 紫色(的)  
brown 棕色(的),褐色(的)  
orange 橙色(的)  
grey 灰色(的),灰白(的)  
sweater 毛衣,厚运动衫  
light 淡(浅)色的,轻的  
want 要,想要  
which 哪一个,哪些  
one 用来代替单数的人或物  
clothes 衣服  
line 线,绳索  
whose 谁的  
blouse 女衬衫  
dress 女服,(统称)衣服  
shirt (男式)衬衫  
trousers 裤子  
skirt 女裙  
dark 深(浓)色的,黑暗的  
yours 你的,你们的  
mine 我的  
hers 她的  
put on 穿上(衣服等),戴上(帽子等) 
theirs pron他们(她们,它们)的  
ours 我们的  
glove 手套  
about 关于,对于  
What about...? (询问消息,征求意见) ..怎么样?
beside 在...旁边  
watch 手表 观看,注视 
give 给  
time 时间  
about 大约  
thirty 三十  
get up 起床 
late 迟的(地),晚的(地)  
o'clock ...点钟  
midnight 午夜  
noon 中午,正午  
past (超)过,经过  
half 半,一半  
quarter 一刻钟,四分之一  
for 为,给  
break (课间)休息,中断  
lunch 午餐  
breakfast 早餐  
clean 把...弄干净,擦干净  
supper 晚餐  
have supper 吃晚餐 
TV 电视,电视机  
watch TV 看电视 
game 游戏,运动  
go home 回家 
p.m. 下午,午后  
London 伦敦  
Tokyo 东京  
Sydney 悉尼  
hour 小时  
a.m. 午前,上午  
hundred 百  
yourself 你自己  
bedroom 卧室  
doll 玩具娃娃  
else 别(的),其他(的)  
sure 的确,一定 确信的,肯定的 
between 在(两者)之间  
tall 高的  
funny 滑稽的,有趣的  
favourite 特别喜爱的  
e-mail 电子邮件  
speak 讲,说  
next 下一个  
term 学期  
could (口语)(表示许可或请求)可以,行  
minute 分钟,一会儿  
Tuesday 星期二  
February 二月  
eighteenth 第十八  
listen 听  
careful 小心的;仔细的  
carefully 小心地;仔细地  
draw 画;绘制  
has (动词have的单数第三人称)有  
face 脸;面孔  
eye 眼睛  
ear 耳朵  
leg 腿  
hand 手  
long 长的  
short 短的;矮的  
mouth 嘴  
say 说;讲  
tick (钟表等滴嗒的)声音  
heavy 重的  
empty 空的  
certainly 当然  
full 满的  
be full (of) 充满....的
carry 携带;搬运;运送  
too 太  
so 这么;那么  
listen to 听 
tape 磁带  
there 好啦(表示安慰)  
all 整个;所有的  
basket 篮子  
bottle 瓶  
a bottle of 一瓶...
juice (水果;蔬菜;肉等的)汁;水汁  
head 头;头部  
nose 鼻子  
hair 头发  
arm 手臂;胳膊  
foot 脚(pl.feet)  
wardrobe 衣柜  
day 日;天  
from 从.....起  
America 美国  
zoo 动物园  
away 离开  
put away 把.....什么收起来(放好) 
out 在外  
come out 出来 
sock 短袜  
other 别的;其他的  
wrong 不正确的;错误的  
broken 弄坏了的  
so 这样;如此  
catch 捉;抓住  
get down 下来;落下 
him 他(宾格)  
right 正好;恰好;正确  
